gender,age,das_playing,hours_playing,favourite_activity,years_playing,play_style,monthly_budget,platform_owned,console_of_choice,games_played
Female,18-25,7 days a week,5+ hours,PVP,10-15 years,Solo,100,Xbox,Xbox,Anthem
Male,31-35,5 days a week,5+ hours,PVE,20+ years,In a Group,100,All,Xbox,Anthem
Male,40+,7 days a week,5+ hours,PVE,20+ years,In a Group,£100,Xbox,Xbox,Assassins Creed
Male,40+,3 to 4 days a week,2-3 hours,Raids,20+ years,Solo,20,Xbox,Xbox,Anthem 
Female,36-40,one day a week,1-2 hours,PVE,20+ years,Solo,Depends what’s out,Xbox,Xbox,Red Dead Redemption 2
Male,26-30,3 to 4 days a week,1-2 hours,PVE,20+ years,Solo,50,Xbox,Xbox,mortal kombat xl
Male,31-35,7 days a week,2-3 houws,Raids,10 years +,In a Group,£100,Xbox,Xbox,Anthem
Male,40+,two days a week,2-3 hours,PVE,20+ years,Solo,£5,Xbox,Xbox,Anthem
Male,40+,7 days a week,4-5 hours,All of the above,20+ years,In a Group,What evers needed,Xbox,Xbox,MOBA games
Female,40+,6 days a week,5+ hours,PVE,20+ years,In a Group,£50,Xbox,Xbox,dragon age
Male,40+,7 days a week,5+ hours,Raids,20+ years,In a Group,0,Xbox,Xbox,Anthem
Male,40+,3 to 4 days a week,1-2 hours,PVE,5-10 years,Solo,Buy when I need,Xbox,Xbox,Anthem
Male,40+,5 days a week,2-3 hours,Raids,20+ years,In a Group,0,Xbox,Xbox,mass effect
Male,40+,3 to 4 days a week,4-5 hours,PVE,20+ years,Solo,,All,Xbox,Anthem
Male,40+,3 to 4 days a week,2-3 hours,PVE,20+ years,Solo,£10,Xbox,Xbox,titanfall
Male,40+,two days a week,0-1 hours,PVP,20+ years,In a Group,£15,Xbox,Xbox,Star Wars Republic Commando
Female,18-25,5 days a week,1-2 hours,Raids,20+ years,Solo,£100,All,Xbox,dragon age
Male,31-35,7 days a week,3-4 hours,PVE,20+ years,In a Group,£20,Xbox,Xbox,Anthem
Male,40+,7 days a week,5+ hours,PVE,10-15 years,In a Group,What I want,Xbox,Xbox,eso
Male,40+,6 days a week,2-3 hours,PVE,5-10 years,Solo,50,Xbox,Xbox,World of tanks
Male,31-35,6 days a week,1-2 hours,Raids,20+ years,In a Group,0,Xbox,Xbox,monster hunter
Female,31-35,two days a week,3-4 hours,Gambit,20+ years,Solo,€50,Xbox,Xbox,Halo 5
Male,31-35,7 days a week,5+ hours,Dance in the tower,20+ years,Solo,$60-100,All,Xbox,FPS
Male,40+,6 days a week,2-3 hours,Raids,20+ years,In a Group,50,Xbox,Xbox,Anthem
Female,40+,5 days a week,2-3 hours,Raids,20+ years,Solo,10,Xbox,Xbox,Red Dead Redemption 2
Male,40+,5 days a week,1-2 hours,Gambit,20+ years,Solo,10,Xbox,Xbox,Halo 5
Male,40+,7 days a week,2-3 hours,Gaming with others,20+ years,In a Group,0,Xbox,Xbox,RPG
Male,31-35,7 days a week,4-5 hours,Gambit,20+ years,In a Group,Varies.... £10-£100,Xbox,PC,Red Dead Redemption 2
Male,40+,two days a week,2-3 hours,PVP,20+ years,Solo,0,Xbox,Xbox,Tomb Raider
Male,40+,3 to 4 days a week,2-3 hours,PVP,20+ years,Solo,Little as possible,All,Xbox,Red Dead Redemption 2
Female,40+,7 days a week,4-5 hours,PVE,20+ years,Solo,Depend on game,Xbox,Xbox,Elite dangerous
Male,36-40,two days a week,3-4 hours,PVE,20+ years,In a Group,50,Xbox,Xbox,Most games
Male,40+,6 days a week,4-5 hours,PVE,20+ years,In a Group,0,Xbox,Xbox,Need for speed
Male,40+,7 days a week,5+ hours,PVE,20+ years,Solo,50,All,Xbox,Warcraft
Female,40+,one day a week,2-3 hours,PVE,20+ years,Solo,10,Xbox,Xbox,Star Wars
Male,26-30,one day a week,2-3 hours,PVE,20+ years,Solo,0,All,Xbox,Sekiro
